Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,
7/1/2021,22.059999,22.559999,14.76,15.53,15.53,77004100,,6/30/2017,$3.00B,$0.65B,21.59%,,9/30/2021,"$2,583 "
8/1/2021,15.64,17.950001,13.84,17.83,17.83,122691600,,3/31/2017,$2.99B,$0.65B,21.68%,,6/30/2021,"$2,588 "
9/1/2021,17.780001,19.73,16.58,19.209999,19.209999,64388200,,12/31/2016,$2.92B,$0.62B,21.34%,,3/31/2021,"$2,590 "
10/1/2021,19.629999,21.9,18.6,18.799999,18.799999,68991900,,9/30/2016,$2.93B,$0.63B,21.61%,,12/31/2020,"$2,502 "
11/1/2021,19.02,23.15,14.98,15.52,15.52,81708500,,6/30/2016,$2.86B,$0.61B,21.18%,,9/30/2020,"$2,495 "
12/1/2021,16.49,17.65,15.01,16.120001,16.120001,62861700,,3/31/2016,$2.91B,$0.63B,21.60%,,6/30/2020,"$2,250 "
1/1/2022,16.4,17.780001,13.37,15.1,15.1,58102600,,12/31/2015,$2.85B,$0.60B,21.14%,,3/31/2020,"$2,007 "
2/1/2022,15.43,18.950001,14.81,17.540001,17.540001,55998700,,9/30/2015,$2.81B,$0.60B,21.25%,,12/31/2019,"$1,912 "
3/1/2022,17.559999,18.24,14.39,17.280001,17.280001,59301000,,6/30/2015,$2.75B,$0.58B,21.04%,,9/30/2019,"$1,898 "
4/1/2022,17.41,17.66,15.46,15.86,15.86,44752100,,3/31/2015,$2.67B,$0.56B,20.90%,,6/30/2019,"$1,902 "
5/1/2022,15.9,17.59,13.89,16.98,16.98,54906500,,12/31/2014,$2.63B,$0.53B,20.25%,,3/31/2019,"$1,907 "
6/1/2022,17.110001,17.379999,13.41,15.02,15.02,38850200,,9/30/2014,$2.62B,$0.52B,19.74%,,12/31/2018,"$2,005 "
7/1/2022,14.91,19.76,14.61,18.33,18.33,53438100,,6/30/2014,$2.73B,$0.57B,20.77%,,9/30/2018,"$2,003 "
8/1/2022,18.200001,19.73,14.01,14.08,14.08,57635700,,3/31/2014,$2.74B,$0.58B,21.18%,,6/30/2018,"$2,014 "
9/1/2022,14,14.35,11.77,12.11,12.11,53496900,,12/31/2013,$2.68B,$0.58B,21.42%,,3/31/2018,"$2,021 "
10/1/2022,12.21,12.95,9.07,10.61,10.61,79798700,,9/30/2013,$2.64B,$0.58B,21.75%,,12/31/2017,"$2,032 "
11/1/2022,10.91,14.1,10.06,13.61,13.61,63711000,,6/30/2013,$2.52B,$0.53B,21.03%,,9/30/2017,"$2,034 "
12/1/2022,13.55,14.5,8.28,8.66,8.66,77512100,,3/31/2013,$2.44B,$0.51B,20.83%,,6/30/2017,"$2,011 "
1/1/2023,8.77,11.95,8.33,11.94,11.94,74618200,,12/31/2012,$2.48B,$0.53B,21.49%,,3/31/2017,"$2,012 "
2/1/2023,11.91,14.05,11.42,13.61,13.61,59203400,,9/30/2012,$2.40B,$0.51B,21.09%,,12/31/2016,"$2,017 "
3/1/2023,13.68,14.93,12.07,14.79,14.79,62165100,,6/30/2012,$2.41B,$0.52B,21.54%,,9/30/2016,"$1,996 "
4/1/2023,14.64,17.09,14.3,16.879999,16.879999,46754000,,3/31/2012,$2.38B,$0.51B,21.25%,,6/30/2016,"$1,999 "
5/1/2023,16.82,17.469999,15.56,16.01,16.01,53376700,,12/31/2011,$2.28B,$0.47B,20.48%,,3/31/2016,"$2,000 "
6/1/2023,16.059999,18.85,15.65,16.5,16.5,48097200,,9/30/2011,$2.27B,$0.48B,21.07%,,12/31/2015,"$1,982 "
7/1/2023,16.469999,17.469999,14.37,16.690001,16.690001,61606100,,6/30/2011,$2.19B,$0.45B,20.33%,,9/30/2015,"$2,007 "
8/1/2023,16.48,18.459999,15.45,16.280001,16.280001,66490700,,3/31/2011,$2.11B,$0.42B,20.08%,,6/30/2015,"$2,013 "
9/1/2023,16.49,18.6,15.93,18.35,18.35,46383800,,12/31/2010,$2.14B,$0.44B,20.60%,,3/31/2015,"$2,009 "
10/1/2023,18.370001,19.85,15.11,16.49,16.49,71390700,,9/30/2010,$2.15B,$0.45B,20.68%,,12/31/2014,"$1,985 "
11/1/2023,16.5,17.450001,14.08,14.48,14.48,38674500,,6/30/2010,$2.09B,$0.43B,20.63%,,9/30/2014,"$2,017 "
,,,,,,,,3/31/2010,$2.07B,$0.43B,20.55%,,6/30/2014,"$2,020 "
,,,,,,,,12/31/2009,$1.98B,$0.42B,20.99%,,3/31/2014,"$2,024 "
,,,,,,,,,,,,,12/31/2013,"$2,025 "
,,,,,,,,,,,,,9/30/2013,"$2,026 "
,,,,,,,,,,,,,6/30/2013,"$2,033 "
,,,,,,,,,,,,,3/31/2013,"$1,896 "
,,,,,,,,,,,,,12/31/2012,"$1,894 "
,,,,,,,,,,,,,9/30/2012,"$1,679 "
,,,,,,,,,,,,,6/30/2012,"$1,684 "
,,,,,,,,,,,,,3/31/2012,"$1,690 "
,,,,,,,,,,,,,12/31/2011,"$1,692 "
,,,,,,,,,,,,,9/30/2011,"$1,690 "
,,,,,,,,,,,,,6/30/2011,"$1,691 "
,,,,,,,,,,,,,3/31/2011,"$1,650 "
,,,,,,,,,,,,,12/31/2010,"$1,654 "
,,,,,,,,,,,,,9/30/2010,"$1,654 "
,,,,,,,,,,,,,6/30/2010,"$1,658 "
,,,,,,,,,,,,,3/31/2010,"$1,661 "
,,,,,,,,,,,,,12/31/2009,"$1,665 "
,,,,,,,,,,,,,9/30/2009,"$1,669 "
,,,,,,,,,,,,,6/30/2009,"$1,691 "
,,,,,,,,,,,,,3/31/2009,"$1,639 "
