Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
2/1/2021,170,172.5,52.599998,80.099998,80.099998,363385340,,9/30/2019,$5.44B,$0.68B,12.58%,,,,,,,3/13/2012,"$4,793 "
3/1/2021,88.599998,145.399994,75,102.099998,102.099998,247359070,,6/30/2019,$5.34B,$0.66B,12.28%,,,,,,,3/14/2012,"$4,355 "
4/1/2021,102.300003,122.199997,83.099998,100.300003,100.300003,93774920,,3/31/2019,$5.28B,$0.66B,12.55%,,,,,,,3/15/2012,"$1,930 "
5/1/2021,101.099998,367.200012,89.300003,261.200012,261.200012,342906800,,12/31/2018,$5.46B,$0.82B,15.00%,,,,,,,3/16/2012,"$1,913 "
6/1/2021,318.899994,726.200012,285.299988,566.799988,566.799988,552009010,,9/30/2018,$5.47B,$0.80B,14.69%,,,,,,,3/17/2012,"$1,942 "
7/1/2021,568.599976,577.099976,311.5,370.200012,370.200012,207826270,,6/30/2018,$5.42B,$0.83B,15.21%,,,,,,,3/18/2012,"$1,996 "
8/1/2021,375.799988,483,289.100006,471.299988,471.299988,202968870,,3/31/2018,$5.18B,$0.71B,13.72%,,,,,,,3/19/2012,"$1,842 "
9/1/2021,471.600006,527.900024,337.399994,380.600006,380.600006,140000590,,12/31/2017,$5.08B,$0.65B,12.82%,,,,,,,3/20/2012,"$1,847 "
10/1/2021,394.100006,444.399994,345.299988,353.700012,353.700012,81216040,,9/30/2017,$4.59B,$0.55B,12.01%,,,,,,,3/21/2012,"$1,871 "
11/1/2021,356.5,459.5,327.5,339.399994,339.399994,73126990,,6/30/2017,$4.19B,$0.55B,13.06%,,,,,,,3/22/2012,"$1,877 "
12/1/2021,347.100006,349.399994,208,272,272,119254890,,3/31/2017,$3.75B,$0.55B,14.72%,,,,,,,3/23/2012,"$1,884 "
1/1/2022,274.200012,281.299988,134,160.600006,160.600006,96772890,,12/31/2016,$3.24B,$0.49B,15.11%,,,,,,,3/24/2012,"$1,889 "
2/1/2022,181.5,209.600006,146.5,188.600006,188.600006,98367720,,9/30/2016,$3.09B,$0.51B,16.48%,,,,,,,3/25/2012,"$2,040 "
3/1/2022,190,343.299988,129,246.399994,246.399994,151744010,,6/30/2016,$3.00B,$0.47B,15.78%,,,,,,,3/26/2012,"$2,179 "
4/1/2022,251.300003,252.800003,147,153,153,71012450,,3/31/2016,$3.06B,$0.51B,16.57%,,,,,,,3/27/2012,Null
5/1/2022,151,161.300003,97,143.399994,143.399994,106887090,,12/31/2015,$2.95B,$0.48B,16.12%,,,,,,,3/28/2012,Null
6/1/2022,140.100006,147.5,110.900002,135.5,135.5,82007240,,9/30/2015,$2.88B,$0.46B,15.86%,,,,,,,3/29/2012,Null
7/1/2022,134.800003,183.699997,121.599998,145.600006,145.600006,71300270,,6/30/2015,$2.82B,$0.44B,15.71%,,,,,,,3/30/2012,"$2,187 "
8/1/2022,143.300003,275,86.800003,91.199997,91.199997,144542260,,3/31/2015,$2.73B,$0.41B,15.08%,,,,,,,3/31/2012,Null
9/1/2022,90.300003,107.5,68.099998,69.699997,69.699997,54883410,,12/31/2014,$2.70B,$0.39B,14.61%,,,,,,,,
10/1/2022,68.400002,81.300003,54.700001,66.599998,66.599998,47378160,,9/30/2014,$2.70B,$0.36B,13.16%,,,,,,,,
11/1/2022,67.599998,83.5,50.5,72.300003,72.300003,55740010,,6/30/2014,$2.76B,$0.37B,13.45%,,,,,,,,
12/1/2022,72.900002,91.5,38.099998,40.700001,40.700001,66011810,,3/31/2014,$2.80B,$0.38B,13.49%,,,,,,,,
1/1/2023,41.400002,65.5,37.700001,53.5,53.5,59321450,,12/31/2013,$2.75B,$0.37B,13.60%,,,,,,,,
2/1/2023,53,85.300003,43.900002,71.400002,71.400002,96052700,,,,,,,,,,,,,
3/1/2023,68,71.099998,40.599998,50.099998,50.099998,64686880,,,,,,,,,,,,,
4/1/2023,49.900002,57.599998,38.799999,55,55,61025520,,,,,,,,,,,,,
5/1/2023,55.299999,61.099998,43.799999,45,45,35134810,,,,,,,,,,,,,
6/1/2023,45.099998,51.5,40.099998,44,44,36096590,,,,,,,,,,,,,
7/1/2023,43.900002,62.299999,41.700001,49.700001,49.700001,78407850,,,,,,,,,,,,,
8/1/2023,49.299999,54.599998,10.72,12.55,12.55,299686390,,,,,,,,,,,,,
9/1/2023,12.68,13.76,7.05,7.99,7.99,560496800,,,,,,,,,,,,,
10/1/2023,8.06,11.17,7.73,10.68,10.68,442135100,,,,,,,,,,,,,
11/1/2023,10.76,11.43,7.61,7.89,7.89,257636300,,,,,,,,,,,,,
